cond,SID,text,article_number
self,s330,I'm so happy to see young people are concerned with climate change and quite literally the future of life on our planet. I certainly hope they go into politics.,27
self,s331,Supplements fulfill the nutrition and helps for the body.,74
social,s335,"making known to people that carbon taxes, renewable energy and climate bipartisanship were all on the ballot in various forms",75
self,s337,"A cancer researcher discusses his new company which aims to treat multiple myeloma using an crowdsourced, individualized approach. His perspective includes being both a researcher and cancer patient himself.",24
social,s338,A Vaquita porpoise has died in a rescue mission. It's one of the rarest marine mammals in the world with less than 30 remaining.,101
social,s344,This a move that would help us and our environment. Their is a possibility this is better than our previous experiences.,61
self,s345,Climate change could cost many large companies to lose a lot of money.,87
social,s348,This sense of hearing is very important and I don't think we realize just how much we need it,90
social,s349,Comparing downsides of paper and plastic bags.,57
social,s352,This article describes the uses of an product which monitors the heart,58
social,s353,This article is about climate plan and electric cars.,73
self,s358,It was terrible and made me worried,7
self,s360,It was the problem which was our future should be a question mark. Arctic was the whole snow area. If its melts too fast the whole world faces a serious issue. It makes the world to fear.,35
social,s361,Foods that are rich in flavonoids may help to lower the risk of cancer and cardiovascular-related causes of death.,22
social,s363,"It matters to people I know, because they have kids and they want them to be healthy.
It's about a new book with hints about healthy eating habits for kids.",2
social,s364,People I know are environment friendly and they want to know about eco cars.,103
self,s368,I really need the information from this article because i have friends that consumes sugary drinks and i feel they need to read this.,4
self,s371,Lawmakers finally passed a bill they have long been working on which protects lots of wilderness lands.,19
social,s372,"Some foods such as tomatoes and spinach could potentially gain more nutrition if you cook them, but some foods may not experience this.",42
